picture_id,download_url,transcription,label,points,linking,label_id
0000971160,/root/download/FUNSD/training_data/images\0000971160.png,R&D,other,"[[292, 91], [376, 91], [376, 175], [292, 175]]",[],0
0000971160,/root/download/FUNSD/training_data/images\0000971160.png,SUGGESTION/  SOLUTION FORM,header,"[[256, 214], [423, 214], [423, 230], [256, 230]]",[],9
0000971160,/root/download/FUNSD/training_data/images\0000971160.png,R&D QUALITY IMPROVEMENT,header,"[[257, 201], [418, 201], [418, 216], [257, 216]]",[],8
0000971160,/root/download/FUNSD/training_data/images\0000971160.png,Name / Phone Ext. :,question,"[[89, 272], [204, 272], [204, 289], [89, 289]]","[[10, 11]]",10
0000971160,/root/download/FUNSD/training_data/images\0000971160.png,"M. Hamann P. Harper, P. Martinez",answer,"[[215, 271], [451, 271], [451, 287], [215, 287]]","[[10, 11]]",11
0000971160,/root/download/FUNSD/training_data/images\0000971160.png,Date:,question,"[[482, 268], [518, 268], [518, 282], [482, 282]]","[[3, 12]]",3
0000971160,/root/download/FUNSD/training_data/images\0000971160.png,9/ 3/ 92,answer,"[[543, 264], [590, 264], [590, 279], [543, 279]]","[[3, 12]]",12
0000971160,/root/download/FUNSD/training_data/images\0000971160.png,Supervisor / Manager,question,"[[91, 316], [218, 316], [218, 331], [91, 331]]","[[15, 14]]",15
0000971160,/root/download/FUNSD/training_data/images\0000971160.png,:,question,"[[219, 316], [225, 316], [225, 327], [219, 327]]",[],1
0000971160,/root/download/FUNSD/training_data/images\0000971160.png,J. S. Wigand,answer,"[[236, 313], [327, 313], [327, 327], [236, 327]]","[[15, 14]]",14
0000971160,/root/download/FUNSD/training_data/images\0000971160.png,R&D Group:,question,"[[420, 310], [491, 310], [491, 323], [420, 323]]","[[13, 4]]",13
0000971160,/root/download/FUNSD/training_data/images\0000971160.png,Licensee,answer,"[[511, 309], [570, 309], [570, 323], [511, 323]]","[[13, 4]]",4
0000971160,/root/download/FUNSD/training_data/images\0000971160.png,Suggestion:,question,"[[95, 355], [169, 355], [169, 370], [95, 370]]","[[2, 16], [2, 17], [2, 18], [2, 19], [2, 20], [2, 21], [2, 22]]",2
0000971160,/root/download/FUNSD/training_data/images\0000971160.png,Discontinue coal retention analyses on licensee submitted,answer,"[[190, 346], [594, 346], [594, 366], [190, 366]]","[[2, 16], [2, 17], [2, 18], [2, 19], [2, 20], [2, 21], [2, 22]]",16
0000971160,/root/download/FUNSD/training_data/images\0000971160.png,product samples (Note : Coal Retention testing is not,answer,"[[190, 363], [578, 363], [578, 383], [190, 383]]","[[2, 16], [2, 17], [2, 18], [2, 19], [2, 20], [2, 21], [2, 22]]",17
0000971160,/root/download/FUNSD/training_data/images\0000971160.png,performed by most licensees. Other B&W physical,answer,"[[190, 377], [528, 377], [528, 394], [190, 394]]","[[2, 16], [2, 17], [2, 18], [2, 19], [2, 20], [2, 21], [2, 22]]",18
0000971160,/root/download/FUNSD/training_data/images\0000971160.png,measurements as ends stability and inspection for soft,answer,"[[191, 391], [571, 391], [571, 406], [191, 406]]","[[2, 16], [2, 17], [2, 18], [2, 19], [2, 20], [2, 21], [2, 22]]",19
0000971160,/root/download/FUNSD/training_data/images\0000971160.png,spots in ciparettes are thought to be sufficient measures,answer,"[[193, 404], [592, 404], [592, 422], [193, 422]]","[[2, 16], [2, 17], [2, 18], [2, 19], [2, 20], [2, 21], [2, 22]]",20
0000971160,/root/download/FUNSD/training_data/images\0000971160.png,to assure cigarette physical integrity. The proposed,answer,"[[193, 416], [566, 416], [566, 434], [193, 434]]","[[2, 16], [2, 17], [2, 18], [2, 19], [2, 20], [2, 21], [2, 22]]",21
0000971160,/root/download/FUNSD/training_data/images\0000971160.png,action will increase laboratory productivity . ),answer,"[[193, 430], [514, 430], [514, 447], [193, 447]]","[[2, 16], [2, 17], [2, 18], [2, 19], [2, 20], [2, 21], [2, 22]]",22
0000971160,/root/download/FUNSD/training_data/images\0000971160.png,Suggested Solutions (s) :,question,"[[95, 486], [250, 486], [250, 504], [95, 504]]","[[23, 24], [23, 25], [23, 26], [23, 27], [23, 28]]",23
0000971160,/root/download/FUNSD/training_data/images\0000971160.png,Delete coal retention from the list of standard,answer,"[[263, 483], [593, 483], [593, 500], [263, 500]]","[[23, 24], [23, 25], [23, 26], [23, 27], [23, 28]]",24
0000971160,/root/download/FUNSD/training_data/images\0000971160.png,analyses performed on licensee submitted,answer,"[[264, 499], [546, 499], [546, 514], [264, 514]]","[[23, 24], [23, 25], [23, 26], [23, 27], [23, 28]]",25
0000971160,/root/download/FUNSD/training_data/images\0000971160.png,retention testing could still be submitted on,answer,"[[263, 524], [584, 524], [584, 540], [263, 540]]","[[23, 24], [23, 25], [23, 26], [23, 27], [23, 28]]",27
0000971160,/root/download/FUNSD/training_data/images\0000971160.png,product samples. Special requests for coal,answer,"[[264, 510], [566, 510], [566, 528], [264, 528]]","[[23, 24], [23, 25], [23, 26], [23, 27], [23, 28]]",26
0000971160,/root/download/FUNSD/training_data/images\0000971160.png,an exception basis.,answer,"[[264, 539], [397, 539], [397, 553], [264, 553]]","[[23, 24], [23, 25], [23, 26], [23, 27], [23, 28]]",28
0000971160,/root/download/FUNSD/training_data/images\0000971160.png,Have you contacted your Manager/  Supervisor?,header,"[[96, 608], [398, 608], [398, 624], [96, 624]]","[[29, 5], [29, 6]]",29
0000971160,/root/download/FUNSD/training_data/images\0000971160.png,Yes,question,"[[461, 605], [483, 605], [483, 619], [461, 619]]","[[29, 5]]",5
0000971160,/root/download/FUNSD/training_data/images\0000971160.png,No,question,"[[545, 603], [563, 603], [563, 617], [545, 617]]","[[29, 6]]",6
0000971160,/root/download/FUNSD/training_data/images\0000971160.png,Manager Comments:,question,"[[98, 651], [211, 651], [211, 665], [98, 665]]","[[30, 31], [30, 32]]",30
0000971160,/root/download/FUNSD/training_data/images\0000971160.png,comments to the Quality Council.,answer,"[[99, 662], [323, 662], [323, 677], [99, 677]]","[[30, 32]]",32
0000971160,/root/download/FUNSD/training_data/images\0000971160.png,"Manager, please contact suggester and forward",answer,"[[232, 644], [547, 644], [547, 662], [232, 662]]","[[30, 31]]",31
0000971160,/root/download/FUNSD/training_data/images\0000971160.png,qip . wp,other,"[[102, 823], [145, 823], [145, 838], [102, 838]]",[],33
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Page 1 of 10,other,"[[527, 33], [618, 33], [618, 48], [527, 48]]",[],34
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,RESTRICTED,header,"[[286, 45], [424, 45], [424, 60], [286, 60]]",[],35
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,BROWN & WILLIAMSON INTERNATIONAL TOBACCO,header,"[[210, 70], [497, 70], [497, 87], [210, 87]]",[],36
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,PRODUCT SPECIFICATION,header,"[[275, 100], [428, 100], [428, 113], [275, 113]]",[],37
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Style:,question,"[[73, 141], [119, 141], [119, 153], [73, 153]]","[[1, 38]]",1
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Brand:,question,"[[76, 129], [118, 129], [118, 139], [76, 139]]","[[0, 2]]",0
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,PHOENIX,answer,"[[145, 127], [197, 127], [197, 137], [145, 137]]","[[0, 2]]",2
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,HLB- KS,answer,"[[145, 141], [208, 141], [208, 154], [145, 154]]","[[1, 38]]",38
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Company:,question,"[[349, 130], [409, 130], [409, 139], [349, 139]]","[[3, 39]]",3
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Country:,question,"[[350, 142], [407, 142], [407, 155], [350, 155]]","[[4, 6]]",4
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,B. A. T. CYPRUS,answer,"[[419, 129], [518, 129], [518, 144], [419, 144]]","[[3, 39]]",39
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Licensee Ref. NO.:,question,"[[75, 156], [202, 156], [202, 168], [75, 168]]",[],41
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Macket:,question,"[[350, 157], [402, 157], [402, 167], [350, 167]]",[],5
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,CYPRUS,answer,"[[419, 144], [467, 144], [467, 154], [419, 154]]","[[4, 6]]",6
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Place of Manufacture:,question,"[[349, 169], [500, 169], [500, 182], [349, 182]]","[[40, 7]]",40
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,NICOSIA,answer,"[[512, 171], [567, 171], [567, 183], [512, 183]]","[[40, 7]]",7
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,CIGARETTE MAKING,header,"[[73, 211], [191, 211], [191, 225], [73, 225]]","[[42, 43], [42, 8]]",42
0000989556,/root/download/FUNSD/training_data/images\0000989556.png,Physical Characteristics,header,"[[73, 240], [247, 240], [247, 253], [73, 253]]","[[43, 44], [43, 45], [43, 47], [43, 46], [43, 48], [43, 49], [43, 50], [43, 51], [43, 52], [43, 53], [43, 54], [43, 55], [42, 43]]",43
